H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY,,Name,State,id,year,District,Party,Total_YEA,Total_NAY
,Pascrell,,,,Pearce,,,,,,,,,,,,Pearce,,,,Pittenger,,,,,,,,,,,,,,,,Sensenbrenner,,,,Ryan (OH),,,,,,,,,,,,Quigley,,,,Reichert,,,"Representative Murphy, Stephanie N.",Florida,17009,House: 2017-Present,7,Democratic,,
,Paulsen,,,,Pelosi,,,,,,,,,,,,Pelosi,,,,Pocan,,,,,,,,,,,,,,,,Serrano,,,,S nchez,,,,,,,,,,,,Raskin,,,,Renacci,,,"Representative Nadler, Jerrold",New York,17011,House: 1991-Present,10,Democratic,,
,Payne,,,,Perlmutter,,,,,,,,,,,,Perlmutter,,,,Poe (TX),,,,,,,,,,,,,,,,Sessions,,,,Sanford,,,,,,,,,,,,Ratcliffe,,,,Rice (NY),,,"Representative Napolitano, Grace F.",California,17013,House: 1999-Present,32,Democratic,,
,Pearce,,,,Perry,,,,,,,,,,,,Perry,,,,Poliquin,,,,,,,,,,,,,,,,Shea-Porter,,,,Sarbanes,,,,,,,,,,,,Reed,,,,Rice (SC),,,"Representative Neal, Richard E.",Massachusetts,17015,House: 1989-Present,1,Democratic,,
,Pelosi,,,,Peters,,,,,,,,,,,,Peters,,,,Polis,,,,,,,,,,,,,,,,Sherman,,,,Scalise,,,,,,,,,,,,Reichert,,,,Richmond,,,"Representative Neguse, Joe",Colorado,17017,House: 2019-Present,2,Democratic,0,0
,Perlmutter,,,,Peterson,,,,,,,,,,,,Peterson,,,,Posey,,,,,,,,,,,,,,,,Shimkus,,,,Schiff,,,,,,,,,,,,Renacci,,,,Roby,,,"Representative Newhouse, Dan",Washington,17019,House: 2015-Present,4,Republican,,
,Perry,,,,Pingree,,,,,,,,,,,,Pingree,,,,Price (NC),,,,,,,,,,,,,,,,Shuster,,,,Schneider,,,,,,,,,,,,Rice (NY),,,,Roe (TN),,,"Representative Norcross, Donald",New Jersey,17021,House: 2014-Present,1,Democratic,,
,Peters,,,,Pittenger,,,,,,,,,,,,Pittenger,,,,Quigley,,,,,,,,,,,,,,,,Sinema,,,,Schrader,,,,,,,,,,,,Rice (SC),,,,Rogers (AL),,,"Representative Norman, Ralph",South Carolina,17023,House: 2017-Present,5,Republican,,
,Peterson,,,,Pocan,,,,,,,,,,,,Pitts,,,,Raskin,,,,,,,,,,,,,,,,Sires,,,,Schweikert,,,,,,,,,,,,Richmond,,,,Rokita,,,"Representative Norton, Eleanor Holmes",District of Columbia,17025,House: 1991-Present,,Democratic,,
,Pingree,,,,Poe (TX),,,,,,,,,,,,Pocan,,,,Ratcliffe,,,,,,,,,,,,,,,,Smith (MO),,,,"Scott, Austin",,,,,,,,,,,,Roby,,,,"Rooney, Francis",,,"Representative Nunes, Devin",California,17027,House: 2003-Present,22,Republican,,
,Pittenger,,,,Poliquin,,,,,,,,,,,,Poe (TX),,,,Reichert,,,,,,,,,,,,,,,,Smith (NE),,,,"Scott, David",,,,,,,,,,,,Roe (TN),,,,"Rooney, Thomas J.",,,"Representative O'Halleran, Tom",Arizona,17029,House: 2017-Present,1,Democratic,,
,Pocan,,,,Polis,,,,,,,,,,,,Poliquin,,,,Renacci,,,,,,,,,,,,,,,,Smith (NJ),,,,Sensenbrenner,,,,,,,,,,,,Rogers (AL),,,,Ros-Lehtinen,,,"Representative Ocasio-Cortez, Alexandria",New York,17031,House: 2019-Present,14,Democratic,0,0
,Poe (TX),,,,Pompeo,,,,,,,,,,,,Polis,,,,Rice (NY),,,,,,,,,,,,,,,,Smith (TX),,,,Serrano,,,,,,,,,,,,Rogers (KY),,,,Rosen,,,"Representative Olson, Pete",Texas,17033,House: 2009-Present,22,Republican,,
,Poliquin,,,,Posey,,,,,,,,,,,,Pompeo,,,,Rice (SC),,,,,,,,,,,,,,,,Smith (WA),,,,Sessions,,,,,,,,,,,,Rokita,,,,Roskam,,,"Representative Omar, Ilhan",Minnesota,17035,House: 2019-Present,5,Democratic,0,0
,Polis,,,,Price (NC),,,,,,,,,,,,Posey,,,,Richmond,,,,,,,,,,,,,,,,Smucker,,,,Sewell (AL),,,,,,,,,,,,Ros-Lehtinen,,,,Rothfus,,,"Representative Palazzo, Steven M.",Mississippi,17037,House: 2011-Present,4,Republican,,
,Pompeo,,,,"Price, Tom",,,,,,,,,,,,Price (NC),,,,Roby,,,,,,,,,,,,,,,,Soto,,,,Shea-Porter,,,,,,,,,,,,Rosen,,,,Rouzer,,,"Representative Pallone, Frank, Jr.",New Jersey,17039,House: 1987-Present,6,Democratic,,
,Posey,,,,Quigley,,,,,,,,,,,,"Price, Tom",,,,Roe (TN),,,,,,,,,,,,,,,,Speier,,,,Sherman,,,,,,,,,,,,Ross,,,,Roybal-Allard,,,"Representative Palmer, Gary J.",Alabama,17041,House: 2015-Present,6,Republican,,
,Price (NC),,,,Rangel,,,,,,,,,,,,Quigley,,,,Rogers (AL),,,,,,,,,,,,,,,,Stefanik,,,,Shimkus,,,,,,,,,,,,Rothfus,,,,Royce (CA),,,"Representative Panetta, Jimmy",California,17043,House: 2017-Present,20,Democratic,,
,"Price, Tom",,,,Ratcliffe,,,,,,,,,,,,Rangel,,,,Rogers (KY),,,,,,,,,,,,,,,,Stewart,,,,Shuster,,,,,,,,,,,,Rouzer,,,,Ruiz,,,"Representative Pappas, Chris",New Hampshire,17045,House: 2019-Present,1,Democratic,0,0
,Quigley,,,,Reed,,,,,,,,,,,,Ratcliffe,,,,Rohrabacher,,,,,,,,,,,,,,,,Suozzi,,,,Simpson,,,,,,,,,,,,Roybal-Allard,,,,Ruppersberger,,,"Representative Pascrell, Bill, Jr.",New Jersey,17047,House: 1997-Present,9,Democratic,,
,Rangel,,,,Reichert,,,,,,,,,,,,Reed,,,,"Rooney, Francis",,,,,,,,,,,,,,,,Swalwell (CA),,,,Sinema,,,,,,,,,,,,Royce (CA),,,,Russell,,,"Representative Payne, Donald M., Jr.",New Jersey,17049,House: 2012-Present,10,Democratic,,
,Ratcliffe,,,,Renacci,,,,,,,,,,,,Reichert,,,,Ros-Lehtinen,,,,,,,,,,,,,,,,Takano,,,,Sires,,,,,,,,,,,,Ruiz,,,,Rutherford,,,"Representative Pelosi, Nancy",California,17051,House: 1987-Present,12,Democratic,,
,Reed,,,,Ribble,,,,,,,,,,,,Renacci,,,,Rosen,,,,,,,,,,,,,,,,Taylor,,,,Smith (MO),,,,,,,,,,,,Ruppersberger,,,,Ryan (OH),,,"Representative Pence, Greg",Indiana,17053,House: 2019-Present,6,Republican,0,0
,Reichert,,,,Rice (NY),,,,,,,,,,,,Ribble,,,,Roskam,,,,,,,,,,,,,,,,Tenney,,,,Smith (NE),,,,,,,,,,,,Rush,,,,S nchez,,,"Representative Perlmutter, Ed",Colorado,17055,House: 2007-Present,7,Democratic,,
,Renacci,,,,Rice (SC),,,,,,,,,,,,Rice (NY),,,,Ross,,,,,,,,,,,,,,,,Thompson (CA),,,,Smith (NJ),,,,,,,,,,,,Russell,,,,Sanford,,,"Representative Perry, Scott",Pennsylvania,17057,House: 2013-Present,10,Republican,,
,Ribble,,,,Richmond,,,,,,,,,,,,Rice (SC),,,,Rothfus,,,,,,,,,,,,,,,,Thompson (PA),,,,Smith (TX),,,,,,,,,,,,Rutherford,,,,Sarbanes,,,"Representative Peters, Scott H.",California,17059,House: 2013-Present,52,Democratic,,
,Rice (NY),,,,Rigell,,,,,,,,,,,,Richmond,,,,Rouzer,,,,,,,,,,,,,,,,Thornberry,,,,Smucker,,,,,,,,,,,,Ryan (OH),,,,Scalise,,,"Representative Peterson, Collin C.",Minnesota,17061,House: 1991-Present,7,Democratic,,
,Rice (SC),,,,Roby,,,,,,,,,,,,Rigell,,,,Roybal-Allard,,,,,,,,,,,,,,,,Tipton,,,,Soto,,,,,,,,,,,,S nchez,,,,Schakowsky,,,"Representative Phillips, Dean",Minnesota,17063,House: 2019-Present,3,Democratic,0,0
,Richmond,,,,Roe (TN),,,,,,,,,,,,Roby,,,,Royce (CA),,,,,,,,,,,,,,,,Titus,,,,Speier,,,,,,,,,,,,Sarbanes,,,,Schiff,,,"Representative Pingree, Chellie",Maine,17065,House: 2009-Present,1,Democratic,,
,Rigell,,,,Rogers (AL),,,,,,,,,,,,Roe (TN),,,,Ruiz,,,,,,,,,,,,,,,,Tonko,,,,Stefanik,,,,,,,,,,,,Scalise,,,,Schneider,,,"Representative Plaskett, Stacey E.",Virgin Islands,17067,House: 2015-Present,,Democratic,,
,Roby,,,,Rogers (KY),,,,,,,,,,,,Rogers (AL),,,,Ruppersberger,,,,,,,,,,,,,,,,Torres,,,,Stewart,,,,,,,,,,,,Schakowsky,,,,Schrader,,,"Representative Pocan, Mark",Wisconsin,17069,House: 2013-Present,2,Democratic,,
,Roe (TN),,,,Rohrabacher,,,,,,,,,,,,Rogers (KY),,,,Rush,,,,,,,,,,,,,,,,Trott,,,,Stivers,,,,,,,,,,,,Schiff,,,,Scott (VA),,,"Representative Price, David E.",North Carolina,17071,"House: 1987-1995, 1997-Present",4,Democratic,,
,Rogers (AL),,,,Rokita,,,,,,,,,,,,Rokita,,,,Russell,,,,,,,,,,,,,,,,Turner,,,,Suozzi,,,,,,,,,,,,Schneider,,,,"Scott, Austin",,,"Representative Quigley, Mike",Illinois,17073,House: 2009-Present,5,Democratic,,
,Rogers (KY),,,,Rooney (FL),,,,,,,,,,,,Ros-Lehtinen,,,,Rutherford,,,,,,,,,,,,,,,,Upton,,,,Swalwell (CA),,,,,,,,,,,,Schrader,,,,"Scott, David",,,"Representative Radewagen, Aumua Amata Coleman",American Samoa,17075,House: 2015-Present,,Republican,,
,Rohrabacher,,,,Ros-Lehtinen,,,,,,,,,,,,Roskam,,,,Ryan (OH),,,,,,,,,,,,,,,,Valadao,,,,Takano,,,,,,,,,,,,Schweikert,,,,Sensenbrenner,,,"Representative Raskin, Jamie",Maryland,17077,House: 2017-Present,8,Democratic,,
,Rokita,,,,Roskam,,,,,,,,,,,,Ross,,,,S nchez,,,,,,,,,,,,,,,,Vargas,,,,Taylor,,,,,,,,,,,,Scott (VA),,,,Serrano,,,"Representative Ratcliffe, John",Texas,17079,House: 2015-Present,4,Republican,,
,Rooney (FL),,,,Ross,,,,,,,,,,,,Rothfus,,,,Sarbanes,,,,,,,,,,,,,,,,Veasey,,,,Tenney,,,,,,,,,,,,"Scott, Austin",,,,Sewell (AL),,,"Representative Reed, Tom",New York,17081,House: 2010-Present,23,Republican,,
,Ros-Lehtinen,,,,Rothfus,,,,,,,,,,,,Rouzer,,,,Scalise,,,,,,,,,,,,,,,,Vel zquez,,,,Thompson (CA),,,,,,,,,,,,"Scott, David",,,,Shea-Porter,,,"Representative Reschenthaler, Guy",Pennsylvania,17083,House: 2019-Present,14,Republican,0,0
,Roskam,,,,Rouzer,,,,,,,,,,,,Roybal-Allard,,,,Schakowsky,,,,,,,,,,,,,,,,Visclosky,,,,Thompson (PA),,,,,,,,,,,,Sensenbrenner,,,,Sherman,,,"Representative Rice, Tom",South Carolina,17085,House: 2013-Present,7,Republican,,
,Ross,,,,Roybal-Allard,,,,,,,,,,,,Royce,,,,Schiff,,,,,,,,,,,,,,,,Wagner,,,,Thornberry,,,,,,,,,,,,Serrano,,,,Shimkus,,,"Representative Richmond, Cedric L.",Louisiana,17087,House: 2011-Present,2,Democratic,,
,Rothfus,,,,Royce,,,,,,,,,,,,Ruiz,,,,Schneider,,,,,,,,,,,,,,,,Walberg,,,,Tipton,,,,,,,,,,,,Sessions,,,,Shuster,,,"Representative Riggleman, Denver",Virginia,17089,House: 2019-Present,5,Republican,0,0
,Rouzer,,,,Ruiz,,,,,,,,,,,,Ruppersberger,,,,Schrader,,,,,,,,,,,,,,,,Walden,,,,Tonko,,,,,,,,,,,,Sewell (AL),,,,Simpson,,,"Representative Rogers, Harold",Kentucky,17091,House: 1981-Present,5,Republican,,
,Roybal-Allard,,,,Ruppersberger,,,,,,,,,,,,Rush,,,,Schweikert,,,,,,,,,,,,,,,,Walker,,,,Torres,,,,,,,,,,,,Shea-Porter,,,,Sinema,,,"Representative Rooney, Francis",Florida,17093,House: 2017-Present,19,Republican,,
,Royce,,,,Rush,,,,,,,,,,,,Russell,,,,Scott (VA),,,,,,,,,,,,,,,,Walorski,,,,Turner,,,,,,,,,,,,Sherman,,,,Smith (MO),,,"Representative Rose, John W.",Tennessee,17095,House: 2019-Present,6,Republican,0,0
,Ruiz,,,,Russell,,,,,,,,,,,,Ryan (OH),,,,"Scott, Austin",,,,,,,,,,,,,,,,"Walters, Mimi",,,,Upton,,,,,,,,,,,,Shimkus,,,,Smith (NE),,,"Representative Rose, Max",New York,17097,House: 2019-Present,11,Democratic,0,0
,Ruppersberger,,,,Ryan (OH),,,,,,,,,,,,Salmon,,,,"Scott, David",,,,,,,,,,,,,,,,"Waters, Maxine",,,,Valadao,,,,,,,,,,,,Shuster,,,,Smith (NJ),,,"Representative Rouda, Harley",California,17099,House: 2019-Present,48,Democratic,0,0
,Rush,,,,Salmon,,,,,,,,,,,,"S nchez, Linda T.",,,,Sensenbrenner,,,,,,,,,,,,,,,,Watson Coleman,,,,Vargas,,,,,,,,,,,,Simpson,,,,Smith (TX),,,"Representative Rouzer, David",North Carolina,17101,House: 2015-Present,7,Republican,,
,Russell,,,,"S nchez, Linda T.",,,,,,,,,,,,Sanford,,,,Serrano,,,,,,,,,,,,,,,,Weber (TX),,,,Vela,,,,,,,,,,,,Sinema,,,,Smith (WA),,,"Representative Roy, Chip",Texas,17103,House: 2019-Present,21,Republican,0,0
,Ryan (OH),,,,"Sanchez, Loretta",,,,,,,,,,,,Sarbanes,,,,Sessions,,,,,,,,,,,,,,,,Welch,,,,Visclosky,,,,,,,,,,,,Smith (MO),,,,Smucker,,,"Representative Roybal-Allard, Lucille",California,17105,House: 1993-Present,40,Democratic,,
,Salmon,,,,Sanford,,,,,,,,,,,,Scalise,,,,Sewell (AL),,,,,,,,,,,,,,,,Wenstrup,,,,Wagner,,,,,,,,,,,,Smith (NE),,,,Soto,,,"Representative Ruiz, Raul",California,17107,House: 2013-Present,36,Democratic,,
,"S nchez, Linda T.",,,,Sarbanes,,,,,,,,,,,,Schakowsky,,,,Shea-Porter,,,,,,,,,,,,,,,,Westerman,,,,Walberg,,,,,,,,,,,,Smith (NJ),,,,Stefanik,,,"Representative Ruppersberger, C. A. Dutch",Maryland,17109,House: 2003-Present,2,Democratic,,
,"Sanchez, Loretta",,,,Scalise,,,,,,,,,,,,Schiff,,,,Sherman,,,,,,,,,,,,,,,,Williams,,,,Walden,,,,,,,,,,,,Smith (TX),,,,Stewart,,,"Representative Rush, Bobby L.",Illinois,17111,House: 1993-Present,1,Democratic,,
,Sarbanes,,,,Schakowsky,,,,,,,,,,,,Schrader,,,,Shimkus,,,,,,,,,,,,,,,,Wilson (SC),,,,Walker,,,,,,,,,,,,Smith (WA),,,,Stivers,,,"Representative Rutherford, John H.",Florida,17113,House: 2017-Present,4,Republican,,
,Scalise,,,,Schiff,,,,,,,,,,,,Schweikert,,,,Shuster,,,,,,,,,,,,,,,,Wittman,,,,Walorski,,,,,,,,,,,,Smucker,,,,Suozzi,,,"Representative Ryan, Tim",Ohio,17115,House: 2003-Present,13,Democratic,,
,Schakowsky,,,,Schrader,,,,,,,,,,,,Scott (VA),,,,Simpson,,,,,,,,,,,,,,,,Womack,,,,"Walters, Mimi",,,,,,,,,,,,Soto,,,,Swalwell (CA),,,"Representative Sablan, Gregorio Kilili Camacho",Northern Mariana Islands,17117,House: 2009-Present,,Democratic,,
,Schiff,,,,Schweikert,,,,,,,,,,,,"Scott, Austin",,,,Sinema,,,,,,,,,,,,,,,,Woodall,,,,Wasserman Schultz,,,,,,,,,,,,Speier,,,,Takano,,,"Representative San Nicolas, Michael F. Q.",Guam,17119,House: 2019-Present,,Democratic,0,0
,Schrader,,,,Scott (VA),,,,,,,,,,,,"Scott, David",,,,Sires,,,,,,,,,,,,,,,,Yarmuth,,,,Weber (TX),,,,,,,,,,,,Stefanik,,,,Taylor,,,"Representative Sanchez, Linda T.",California,17121,House: 2003-Present,38,Democratic,,
,Schweikert,,,,"Scott, Austin",,,,,,,,,,,,Sensenbrenner,,,,Smith (MO),,,,,,,,,,,,,,,,Yoder,,,,Webster (FL),,,,,,,,,,,,Stewart,,,,Tenney,,,"Representative Sarbanes, John P.",Maryland,17123,House: 2007-Present,3,Democratic,,
,Scott (VA),,,,"Scott, David",,,,,,,,,,,,Sessions,,,,Smith (NE),,,,,,,,,,,,,,,,Young (AK),,,,Welch,,,,,,,,,,,,Stivers,,,,Thompson (CA),,,"Representative Scalise, Steve",Louisiana,17125,House: 2008-Present,1,Republican,,
,"Scott, Austin",,,,Sensenbrenner,,,,,,,,,,,,Sewell (AL),,,,Smith (NJ),,,,,,,,,,,,,,,,Young (IA),,,,Wenstrup,,,,,,,,,,,,Suozzi,,,,Thompson (PA),,,"Representative Scanlon, Mary Gay",Pennsylvania,17127,House: 2018-Present,5,Democratic,,
,Sensenbrenner,,,,Serrano,,,,,,,,,,,,Sherman,,,,Smith (TX),,,,,,,,,,,,,,,,Zeldin,,,,Westerman,,,,,,,,,,,,Takano,,,,Tipton,,,"Representative Schakowsky, Janice D.",Illinois,17129,House: 1999-Present,9,Democratic,,
,Serrano,,,,Sessions,,,,,,,,,,,,Shimkus,,,,Smith (WA),,,,,,,,,,,,,,,,,,,,Williams,,,,,,,,,,,,Tenney,,,,Titus,,,"Representative Schiff, Adam B.",California,17131,House: 2001-Present,28,Democratic,,
,Sessions,,,,Sherman,,,,,,,,,,,,Shuster,,,,Smucker,,,,,,,,,,,,,,,,,,,,Wilson (FL),,,,,,,,,,,,Thompson (CA),,,,Tonko,,,"Representative Schneider, Bradley Scott",Illinois,17133,"House: 2013-2015, 2017-Present",10,Democratic,,
,Sewell (AL),,,,Shimkus,,,,,,,,,,,,Simpson,,,,Soto,,,,,,,,,,,,,,,,,,,,Wilson (SC),,,,,,,,,,,,Thompson (MS),,,,Torres,,,"Representative Schrader, Kurt",Oregon,17135,House: 2009-Present,5,Democratic,,
,Sherman,,,,Shuster,,,,,,,,,,,,Sinema,,,,Speier,,,,,,,,,,,,,,,,,,,,Wittman,,,,,,,,,,,,Thompson (PA),,,,Trott,,,"Representative Schrier, Kim",Washington,17137,House: 2019-Present,8,Democratic,0,0
,Shimkus,,,,Simpson,,,,,,,,,,,,Sires,,,,Stefanik,,,,,,,,,,,,,,,,,,,,Womack,,,,,,,,,,,,Thornberry,,,,Upton,,,"Representative Schweikert, David",Arizona,17139,House: 2011-Present,6,Republican,,
,Shuster,,,,Sinema,,,,,,,,,,,,Smith (MO),,,,Stewart,,,,,,,,,,,,,,,,,,,,Woodall,,,,,,,,,,,,Tipton,,,,Valadao,,,"Representative Scott, Austin",Georgia,17141,House: 2011-Present,8,Republican,,
,Simpson,,,,Sires,,,,,,,,,,,,Smith (NE),,,,Stivers,,,,,,,,,,,,,,,,,,,,Yarmuth,,,,,,,,,,,,Tonko,,,,Veasey,,,"Representative Scott, David",Georgia,17143,House: 2003-Present,13,Democratic,,
,Sinema,,,,Slaughter,,,,,,,,,,,,Smith (NJ),,,,Suozzi,,,,,,,,,,,,,,,,,,,,Yoder,,,,,,,,,,,,Torres,,,,Vela,,,"Representative Scott, Robert C. ""Bobby""",Virginia,17145,House: 1993-Present,3,Democratic,,
,Sires,,,,Smith (MO),,,,,,,,,,,,Smith (TX),,,,Swalwell (CA),,,,,,,,,,,,,,,,,,,,Yoho,,,,,,,,,,,,Trott,,,,Vel zquez,,,"Representative Sensenbrenner, F. James, Jr.",Wisconsin,17147,House: 1979-Present,5,Republican,,
,Slaughter,,,,Smith (NE),,,,,,,,,,,,Smith (WA),,,,Takano,,,,,,,,,,,,,,,,,,,,Young (IA),,,,,,,,,,,,Tsongas,,,,Visclosky,,,"Representative Serrano, Jose E.",New York,17149,House: 1989-Present,15,Democratic,,
,Smith (MO),,,,Smith (NJ),,,,,,,,,,,,Speier,,,,Taylor,,,,,,,,,,,,,,,,,,,,Zeldin,,,,,,,,,,,,Turner,,,,Wagner,,,"Representative Sewell, Terri A.",Alabama,17151,House: 2011-Present,7,Democratic,,
,Smith (NE),,,,Smith (TX),,,,,,,,,,,,Stefanik,,,,Tenney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upton,,,,Walberg,,,"Representative Shalala, Donna E.",Florida,17153,House: 2019-Present,27,Democratic,0,0
,Smith (NJ),,,,Smith (WA),,,,,,,,,,,,Stewart,,,,Thompson (CA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valadao,,,,Walden,,,"Representative Sherman, Brad",California,17155,House: 1997-Present,30,Democratic,,
,Smith (TX),,,,Speier,,,,,,,,,,,,Stivers,,,,Thompson (MS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vargas,,,,Walker,,,"Representative Sherrill, Mikie",New Jersey,17157,House: 2019-Present,11,Democratic,0,0
,Smith (WA),,,,Stefanik,,,,,,,,,,,,Stutzman,,,,Thompson (PA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veasey,,,,Walorski,,,"Representative Shimkus, John",Illinois,17159,House: 1997-Present,15,Republican,,
,Speier,,,,Stewart,,,,,,,,,,,,Swalwell (CA),,,,Thornberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vela,,,,"Walters, Mimi",,,"Representative Simpson, Michael K.",Idaho,17161,House: 1999-Present,2,Republican,,
,Stefanik,,,,Stivers,,,,,,,,,,,,Takano,,,,Tipton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vel zquez,,,,Walz,,,"Representative Sires, Albio",New Jersey,17163,House: 2005-Present,8,Democratic,,
,Stewart,,,,Stutzman,,,,,,,,,,,,Thompson (CA),,,,Tonko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wagner,,,,Wasserman Schultz,,,"Representative Slotkin, Elissa",Michigan,17165,House: 2019-Present,8,Democratic,0,0
,Stivers,,,,Swalwell (CA),,,,,,,,,,,,Thompson (MS),,,,Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walberg,,,,"Waters, Maxine",,,"Representative Smith, Adam",Washington,17167,House: 1997-Present,9,Democratic,,
,Stutzman,,,,Takano,,,,,,,,,,,,Thompson (PA),,,,Trott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walden,,,,Watson Coleman,,,"Representative Smith, Adrian",Nebraska,17169,House: 2007-Present,3,Republican,,
,Swalwell (CA),,,,Thompson (CA),,,,,,,,,,,,Thornberry,,,,Tsongas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walker,,,,Weber (TX),,,"Representative Smith, Christopher H.",New Jersey,17171,House: 1981-Present,4,Republican,,
,Takai,,,,Thompson (MS),,,,,,,,,,,,Tiberi,,,,Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walorski,,,,Webster (FL),,,"Representative Smith, Jason",Missouri,17173,House: 2013-Present,8,Republican,,
,Takano,,,,Thompson (PA),,,,,,,,,,,,Tipton,,,,Upton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walters, Mimi",,,,Welch,,,"Representative Smucker, Lloyd",Pennsylvania,17175,House: 2017-Present,11,Republican,,
,Thompson (CA),,,,Thornberry,,,,,,,,,,,,Titus,,,,Valadao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wasserman Schultz,,,,Wenstrup,,,"Representative Soto, Darren",Florida,17177,House: 2017-Present,9,Democratic,,
,Thompson (MS),,,,Tiberi,,,,,,,,,,,,Tonko,,,,Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waters, Maxine",,,,Williams,,,"Representative Spanberger, Abigail Davis",Virginia,17179,House: 2019-Present,7,Democratic,0,0
,Thompson (PA),,,,Tipton,,,,,,,,,,,,Torres,,,,Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watson Coleman,,,,Wilson (SC),,,"Representative Spano, Ross",Florida,17181,House: 2019-Present,15,Republican,0,0
,Thornberry,,,,Titus,,,,,,,,,,,,Trott,,,,Vel zquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weber (TX),,,,Wittman,,,"Representative Speier, Jackie",California,17183,House: 2008-Present,14,Democratic,,
,Tiberi,,,,Tonko,,,,,,,,,,,,Tsongas,,,,Visclosky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Webster (FL),,,,Womack,,,"Representative Stanton, Greg",Arizona,17185,House: 2019-Present,9,Democratic,0,0
,Tipton,,,,Torres,,,,,,,,,,,,Turner,,,,Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Welch,,,,Woodall,,,"Representative Stauber, Pete",Minnesota,17187,House: 2019-Present,8,Republican,0,0
,Tonko,,,,Trott,,,,,,,,,,,,Upton,,,,Walberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wenstrup,,,,Yarmuth,,,"Representative Stefanik, Elise M.",New York,17189,House: 2015-Present,21,Republican,,
,Torres,,,,Tsongas,,,,,,,,,,,,Valadao,,,,Walden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westerman,,,,Yoder,,,"Representative Steil, Bryan",Wisconsin,17191,House: 2019-Present,1,Republican,0,0
,Trott,,,,Turner,,,,,,,,,,,,Van Hollen,,,,Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Williams,,,,Yoho,,,"Representative Steube, W. Gregory",Florida,17193,House: 2019-Present,17,Republican,0,0
,Tsongas,,,,Upton,,,,,,,,,,,,Vargas,,,,Walorski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wittman,,,,Young (AK),,,"Representative Stevens, Haley M.",Michigan,17195,House: 2019-Present,11,Democratic,0,0
,Turner,,,,Valadao,,,,,,,,,,,,Veasey,,,,"Walters, Mimi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womack,,,,Young (IA),,,"Representative Stewart, Chris",Utah,17197,House: 2013-Present,2,Republican,,
,Upton,,,,Van Hollen,,,,,,,,,,,,Vela,,,,Wasserman Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woodall,,,,Zeldin,,,"Representative Stivers, Steve",Ohio,17199,House: 2011-Present,15,Republican,,
,Valadao,,,,Vargas,,,,,,,,,,,,Vel zquez,,,,"Waters, Maxine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarmuth,,,,,,,"Representative Suozzi, Thomas R.",New York,17201,House: 2017-Present,3,Democratic,,
,Van Hollen,,,,Veasey,,,,,,,,,,,,Visclosky,,,,Watson Coleman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoder,,,,,,,"Representative Swalwell, Eric",California,17203,House: 2013-Present,15,Democratic,,
,Vargas,,,,Vela,,,,,,,,,,,,Wagner,,,,Weber (TX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoho,,,,,,,"Representative Takano, Mark",California,18001,House: 2013-Present,41,Democratic,,
,Veasey,,,,Vel zquez,,,,,,,,,,,,Walberg,,,,Webster (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young (AK),,,,,,,"Representative Taylor, Van",Texas,18003,House: 2019-Present,3,Republican,,
