H R 5046,YEA,NAY,,H.R.4641,YEA,NAY,,H RES 720,YEA,NAY,,H RES 720,YEA,NAY,,H R 5052,YEA,NAY,,H R 6,YEA,NAY,,H R 6,YEA,NAY,,H RES 949,YEA,NAY,,H RES 949,YEA,NAY,,H R 5687,YEA,NAY,,H R 5788,YEA,NAY,,H RES 934,YEA,NAY,,H RES 934,YEA,NAY,,H R 5327,YEA,NAY,,H R 3832,YEA,NAY,,Name,State, Id,X,Y,year,District,Party,Total_YEA,Total_NAY
,Jolly,,,,Kaptur,,,,Rigell,,,,Thompson (PA),,,,Jordan,,,,Kennedy,,,,,Simpson,,,Simpson,,,,Smith (NJ),,,,Long,,,,Lesko,,,,Schneider,,,,"Scott, Austin",,,,Kustoff (TN),,,,King (NY),,,"Representative Hurd, Will",Texas,48,-102.2217094,30.12943449,House: 2015-Present,23,Republican,,
,Jones,,,,Katko,,,,Roby,,,,Thornberry,,,,Joyce,,,,Khanna,,,,,Smith (MO),,,Smith (MO),,,,Smith (TX),,,,Love,,,,Levin,,,,Schweikert,,,,Sensenbrenner,,,,Labrador,,,,Knight,,,"Representative Jackson Lee, Sheila",Texas,48,-95.46648025,29.87029518,House: 1995-Present,18,Democratic,,
,Jordan,,,,Keating,,,,Roe (TN),,,,Tipton,,,,Kaptur,,,,Kihuen,,,,,Smith (NE),,,Smith (NE),,,,Smucker,,,,Lowenthal,,,,Lewis (MN),,,,"Scott, Austin",,,,Sessions,,,,LaHood,,,,Krishnamoorthi,,,"Representative Jayapal, Pramila",Washington,53,,,House: 2017-Present,7,Democratic,,
,Joyce,,,,Kelly (IL),,,,Rogers (AL),,,,Trott,,,,Katko,,,,Kildee,,,,,Smith (NJ),,,Smith (NJ),,,,Stefanik,,,,Lowey,,,,"Lieu, Ted",,,,Sensenbrenner,,,,Shimkus,,,,LaMalfa,,,,Kuster (NH),,,"Representative Jeffries, Hakeem S.",New York,36,,,House: 2013-Present,8,Democratic,,
,Kaptur,,,,Kelly (MS),,,,Rogers (KY),,,,Turner,,,,Keating,,,,Kilmer,,,,,Smith (TX),,,Smith (TX),,,,Stewart,,,,Lucas,,,,Lipinski,,,,Sessions,,,,Simpson,,,,Lamb,,,,Kustoff (TN),,,"Representative Johnson, Bill",Ohio,39,-81.24162491,39.73269729,House: 2011-Present,6,Republican,,
,Katko,,,,Kelly (PA),,,,Rohrabacher,,,,Upton,,,,Kelly (IL),,,,Kind,,,,,Smucker,,,Smucker,,,,Stivers,,,,Luetkemeyer,,,,LoBiondo,,,,Shimkus,,,,Smith (MO),,,,Lamborn,,,,Labrador,,,"Representative Johnson, Dusty",South Dakota,46,,,House: 2019-Present,,Republican,0,0
,Keating,,,,Kennedy,,,,Rokita,,,,Valadao,,,,Kelly (MS),,,,King (IA),,,,,Stefanik,,,Stefanik,,,,Taylor,,,,"Lujan Grisham, M.",,,,Loebsack,,,,Simpson,,,,Smith (NE),,,,Lance,,,,LaHood,,,"Representative Johnson, Eddie Bernice",Texas,48,-96.73602226,32.70267182,House: 1993-Present,30,Democratic,,
,Kelly (IL),,,,Kildee,,,,Rooney (FL),,,,Wagner,,,,Kelly (PA),,,,King (NY),,,,,Stewart,,,Stewart,,,,Tenney,,,,"Luján, Ben Ray",,,,Lofgren,,,,Sinema,,,,Smith (NJ),,,,Langevin,,,,LaMalfa,,,"Representative Johnson, Henry C. ""Hank,"" Jr.",Georgia,13,,,House: 2007-Present,4,Democratic,,
,Kelly (MS),,,,Kilmer,,,,Ros-Lehtinen,,,,Walden,,,,Kennedy,,,,Kinzinger,,,,,Stivers,,,Stivers,,,,Thompson (PA),,,,MacArthur,,,,Long,,,,Smith (MO),,,,Smith (TX),,,,Larsen (WA),,,,Lamb,,,"Representative Johnson, Mike",Louisiana,22,,,House: 2017-Present,4,Republican,,
,Kelly (PA),,,,Kind,,,,Roskam,,,,Walker,,,,Kildee,,,,Knight,,,,,Taylor,,,Suozzi,,,,Tipton,,,,"Maloney, Carolyn B.",,,,Loudermilk,,,,Smith (NE),,,,Smucker,,,,Larson (CT),,,,Lamborn,,,"Representative Jones, Walter B., Jr.",North Carolina,37,,,House: 1995-Present,3,Republican,,
,Kennedy,,,,King (IA),,,,Ross,,,,Walorski,,,,Kilmer,,,,Krishnamoorthi,,,,,Tenney,,,Taylor,,,,Trott,,,,"Maloney, Sean",,,,Love,,,,Smith (NJ),,,,Stefanik,,,,Latta,,,,Lance,,,"Representative Jordan, Jim",Ohio,39,-84.1384629,40.756097,House: 2007-Present,4,Republican,,
,Kildee,,,,King (NY),,,,Rothfus,,,,"Walters, Mimi",,,,Kind,,,,Kuster (NH),,,,,Thompson (PA),,,Tenney,,,,Upton,,,,Marchant,,,,Lucas,,,,Smith (TX),,,,Stewart,,,,Lawrence,,,,Langevin,,,"Representative Joyce, David P.",Ohio,39,-80.5191385,41.34310003,House: 2013-Present,14,Republican,,
,Kilmer,,,,Kinzinger (IL),,,,Rouzer,,,,Weber (TX),,,,King (IA),,,,Kustoff (TN),,,,,Thornberry,,,Thompson (PA),,,,Valadao,,,,Marino,,,,Luetkemeyer,,,,Smucker,,,,Stivers,,,,Lawson (FL),,,,Larson (CT),,,"Representative Joyce, John",Pennsylvania,42,,,House: 2019-Present,13,Republican,0,0
,Kind,,,,Kirkpatrick,,,,Royce,,,,Wenstrup,,,,King (NY),,,,LaHood,,,,,Tipton,,,Tipton,,,,Wagner,,,,Marshall,,,,"Lujan Grisham, M.",,,,Stefanik,,,,Taylor,,,,Lee,,,,Latta,,,"Representative Kaptur, Marcy",Ohio,39,-83.0951366,41.54282083,House: 1983-Present,9,Democratic,,
,King (IA),,,,Kline,,,,Ruppersberger,,,,Westerman,,,,Kinzinger (IL),,,,LaMalfa,,,,,Trott,,,Trott,,,,Walberg,,,,Mast,,,,"Luján, Ben Ray",,,,Stewart,,,,Tenney,,,,Lesko,,,,Lawrence,,,"Representative Katko, John",New York,36,,,House: 2015-Present,24,Republican,,
,King (NY),,,,Knight,,,,Russell,,,,Williams,,,,Kirkpatrick,,,,Lamb,,,,,Turner,,,Upton,,,,Walden,,,,Matsui,,,,Lynch,,,,Stivers,,,,Thompson (PA),,,,Levin,,,,Lawson (FL),,,"Representative Keating, William R.",Massachusetts,25,,,House: 2011-Present,9,Democratic,,
,Kinzinger (IL),,,,Kuster,,,,Salmon,,,,Wilson (SC),,,,Kline,,,,Lamborn,,,,,Upton,,,Valadao,,,,Walker,,,,McCaul,,,,MacArthur,,,,Taylor,,,,Thornberry,,,,Lewis (GA),,,,Lesko,,,"Representative Keller, Fred",Pennsylvania,42,,,House: 2019-Present,12,Republican,0,0
,Kirkpatrick,,,,LaHood,,,,Sanford,,,,Wittman,,,,Knight,,,,Lance,,,,,Valadao,,,Wagner,,,,Walorski,,,,McCollum,,,,"Maloney, Carolyn B.",,,,Tenney,,,,Tipton,,,,Lewis (MN),,,,Levin,,,"Representative Kelly, Mike",Pennsylvania,42,,,House: 2011-Present,16,Republican,,
,Kline,,,,LaMalfa,,,,Scalise,,,,Womack,,,,Kuster,,,,Langevin,,,,,Wagner,,,Walberg,,,,"Walters, Mimi",,,,McEachin,,,,"Maloney, Sean",,,,Thompson (PA),,,,Trott,,,,"Lieu, Ted",,,,Lewis (MN),,,"Representative Kelly, Robin L.",Illinois,17,,,House: 2013-Present,2,Democratic,,
,Knight,,,,Lamborn,,,,Schiff,,,,Woodall,,,,Labrador,,,,Larsen (WA),,,,,Walberg,,,Walden,,,,Weber (TX),,,,McGovern,,,,Marchant,,,,Thornberry,,,,Turner,,,,Lipinski,,,,"Lieu, Ted",,,"Representative Kelly, Trent",Mississippi,28,,,House: 2015-Present,1,Republican,,
,Kuster,,,,Lance,,,,Schweikert,,,,Yoder,,,,LaHood,,,,Larson (CT),,,,,Walden,,,Walker,,,,Webster (FL),,,,McHenry,,,,Marino,,,,Tipton,,,,Upton,,,,LoBiondo,,,,Lipinski,,,"Representative Kennedy, Joseph P., III",Massachusetts,25,,,House: 2013-Present,4,Democratic,,
,Labrador,,,,Langevin,,,,"Scott, Austin",,,,Yoho,,,,LaMalfa,,,,Latta,,,,,Walker,,,Walorski,,,,Wenstrup,,,,McKinley,,,,Marshall,,,,Trott,,,,Valadao,,,,Loebsack,,,,LoBiondo,,,"Representative Khanna, Ro",California,6,-121.9177925,37.4258147,House: 2017-Present,17,Democratic,,
,LaHood,,,,Larsen (WA),,,,Sensenbrenner,,,,Young (AK),,,,Lamborn,,,,Lawrence,,,,,Walorski,,,"Walters, Mimi",,,,Westerman,,,,McMorris Rodgers,,,,Massie,,,,Turner,,,,Wagner,,,,Lofgren,,,,Lofgren,,,"Representative Kildee, Daniel T.",Michigan,26,-84.0115819,43.6466005,House: 2013-Present,5,Democratic,,
,LaMalfa,,,,Larson (CT),,,,Sessions,,,,Young (IA),,,,Lance,,,,Lawson (FL),,,,,"Walters, Mimi",,,Weber (TX),,,,Williams,,,,McNerney,,,,Mast,,,,Upton,,,,Walberg,,,,Long,,,,Long,,,"Representative Kilmer, Derek",Washington,53,,,House: 2013-Present,6,Democratic,,
,Lamborn,,,,Lawrence,,,,Shimkus,,,,Young (IN),,,,Langevin,,,,Lee,,,,,Weber (TX),,,Webster (FL),,,,Wilson (SC),,,,Meadows,,,,Matsui,,,,Valadao,,,,Walden,,,,Loudermilk,,,,Loudermilk,,,"Representative Kim, Andy",New Jersey,34,,,House: 2019-Present,3,Democratic,0,0
,Lance,,,,Lee,,,,Shuster,,,,Zeldin,,,,Larsen (WA),,,,Lesko,,,,,Webster (FL),,,Wenstrup,,,,Wittman,,,,Meng,,,,McCarthy,,,,Wagner,,,,Walker,,,,Love,,,,Love,,,"Representative Kind, Ron",Wisconsin,55,,,House: 1997-Present,3,Democratic,,
,Langevin,,,,Levin,,,,Simpson,,,,Zinke,,,,Larson (CT),,,,Levin,,,,,Wenstrup,,,Westerman,,,,Womack,,,,Messer,,,,McCaul,,,,Walberg,,,,Walorski,,,,Lowenthal,,,,Lowenthal,,,"Representative King, Peter T.",New York,36,,,House: 1993-Present,2,Republican,,
,Larsen (WA),,,,Lewis,,,,Sinema,,,,,,,,Lawrence,,,,Lewis (GA),,,,,Westerman,,,Williams,,,,Woodall,,,,Mitchell,,,,McClintock,,,,Walden,,,,"Walters, Mimi",,,,Lowey,,,,Lowey,,,"Representative King, Steve",Iowa,19,-92.19918005,41.20439,House: 2003-Present,4,Republican,,
,Larson (CT),,,,"Lieu, Ted",,,,Smith (MO),,,,,,,,Lee,,,,Lewis (MN),,,,,Williams,,,Wilson (SC),,,,Yoder,,,,Moolenaar,,,,McGovern,,,,Walker,,,,Weber (TX),,,,Lucas,,,,Lucas,,,"Representative Kinzinger, Adam",Illinois,17,,,House: 2011-Present,16,Republican,,
,Lawrence,,,,Lipinski,,,,Smith (NE),,,,,,,,Levin,,,,"Lieu, Ted",,,,,Wilson (SC),,,Wittman,,,,Yoho,,,,Mooney (WV),,,,McHenry,,,,Walorski,,,,Webster (FL),,,,Luetkemeyer,,,,Luetkemeyer,,,"Representative Kirkpatrick, Ann",Arizona,4,,,"House: 2009-2011, 2013-2017, 2019-Present",2,Democratic,,
,Lee,,,,LoBiondo,,,,Smith (NJ),,,,,,,,Lewis,,,,Lipinski,,,,,Wittman,,,Womack,,,,Young (AK),,,,Moore,,,,McKinley,,,,"Walters, Mimi",,,,Wenstrup,,,,"Lujan Grisham, M.",,,,"Luján, Ben Ray",,,"Representative Krishnamoorthi, Raja",Illinois,17,,,House: 2017-Present,8,Democratic,,
,Levin,,,,Loebsack,,,,Smith (TX),,,,,,,,"Lieu, Ted",,,,LoBiondo,,,,,Womack,,,Woodall,,,,Young (IA),,,,Mullin,,,,McMorris Rodgers,,,,Weber (TX),,,,Westerman,,,,"Luján, Ben Ray",,,,Lynch,,,"Representative Kuster, Ann M.",New Hampshire,33,,,House: 2013-Present,2,Democratic,,
,Lewis,,,,Lofgren,,,,Stefanik,,,,,,,,Lipinski,,,,Loebsack,,,,,Woodall,,,Yoder,,,,Zeldin,,,,Nadler,,,,McNerney,,,,Webster (FL),,,,Williams,,,,Lynch,,,,MacArthur,,,"Representative Kustoff, David",Tennessee,47,,,House: 2017-Present,8,Republican,,
,"Lieu, Ted",,,,Long,,,,Stewart,,,,,,,,LoBiondo,,,,Lofgren,,,,,Yoder,,,Yoho,,,,,,,,Newhouse,,,,McSally,,,,Wenstrup,,,,Wilson (SC),,,,MacArthur,,,,"Maloney, Carolyn B.",,,"Representative LaHood, Darin",Illinois,17,,,House: 2015-Present,18,Republican,,
,Lipinski,,,,Loudermilk,,,,Stivers,,,,,,,,Loebsack,,,,Long,,,,,Yoho,,,Young (AK),,,,,,,,Noem,,,,Meadows,,,,Westerman,,,,Wittman,,,,"Maloney, Carolyn B.",,,,"Maloney, Sean",,,"Representative LaMalfa, Doug",California,6,-121.4467911,40.44945336,House: 2013-Present,1,Republican,,
,LoBiondo,,,,Love,,,,Stutzman,,,,,,,,Lofgren,,,,Love,,,,,Young (AK),,,Young (IA),,,,,,,,Nolan,,,,Meeks,,,,Williams,,,,Womack,,,,"Maloney, Sean",,,,Marchant,,,"Representative Lamb, Conor",Pennsylvania,42,,,House: 2018-Present,17,Democratic,,
,Loebsack,,,,Lowenthal,,,,Thompson (PA),,,,,,,,Long,,,,Lowenthal,,,,,Young (IA),,,Zeldin,,,,,,,,Norcross,,,,Meng,,,,Wilson (SC),,,,Woodall,,,,Marino,,,,Marino,,,"Representative Lamborn, Doug",Colorado,8,,,House: 2007-Present,5,Republican,,
,Lofgren,,,,Lowey,,,,Thornberry,,,,,,,,Loudermilk,,,,Lowey,,,,,Zeldin,,,,,,,,,,,Nunes,,,,Messer,,,,Wittman,,,,Yoder,,,,Marshall,,,,Marshall,,,"Representative Langevin, James R.",Rhode Island,44,,,House: 2001-Present,2,Democratic,,
,Long,,,,Lucas,,,,Tiberi,,,,,,,,Love,,,,Lucas,,,,,,,,,,,,,,,,O'Halleran,,,,Mitchell,,,,Womack,,,,Yoho,,,,Mast,,,,Mast,,,"Representative Larsen, Rick",Washington,53,,,House: 2001-Present,2,Democratic,,
,Loudermilk,,,,Luetkemeyer,,,,Tipton,,,,,,,,Lowenthal,,,,Luetkemeyer,,,,,,,,,,,,,,,,O'Rourke,,,,Moolenaar,,,,Woodall,,,,Young (AK),,,,Matsui,,,,Matsui,,,"Representative Larson, John B.",Connecticut,9,,,House: 1999-Present,1,Democratic,,
,Love,,,,Lujan Grisham (NM),,,,Trott,,,,,,,,Lowey,,,,"Lujan Grisham, M.",,,,,,,,,,,,,,,,Olson,,,,Moulton,,,,Yoder,,,,Young (IA),,,,McCarthy,,,,McCarthy,,,"Representative Latta, Robert E.",Ohio,39,-84.11221379,41.09777149,House: 2007-Present,5,Republican,,
,Lowenthal,,,,"Luján, Ben Ray (NM)",,,,Turner,,,,,,,,Lucas,,,,"Luján, Ben Ray",,,,,,,,,,,,,,,,Palazzo,,,,Mullin,,,,Yoho,,,,Zeldin,,,,McCaul,,,,McCaul,,,"Representative Lawrence, Brenda L.",Michigan,26,-83.3193221,42.49261255,House: 2015-Present,14,Democratic,,
,Lowey,,,,Lummis,,,,Upton,,,,,,,,Luetkemeyer,,,,Lynch,,,,,,,,,,,,,,,,Pallone,,,,Murphy (FL),,,,Young (AK),,,,,,,,McCollum,,,,McClintock,,,"Representative Lawson, Al, Jr.",Florida,12,,,House: 2017-Present,5,Democratic,,
,Lucas,,,,Lynch,,,,Valadao,,,,,,,,Lujan Grisham (NM),,,,MacArthur,,,,,,,,,,,,,,,,Palmer,,,,Nadler,,,,Young (IA),,,,,,,,McEachin,,,,McCollum,,,"Representative Lee, Barbara",California,6,-122.2369849,37.78650218,House: 1997-Present,13,Democratic,,
,Luetkemeyer,,,,MacArthur,,,,Wagner,,,,,,,,"Luján, Ben Ray (NM)",,,,"Maloney, Carolyn B.",,,,,,,,,,,,,,,,Panetta,,,,Neal,,,,Zeldin,,,,,,,,McGovern,,,,McEachin,,,"Representative Lee, Susie",Nevada,32,,,House: 2019-Present,3,Democratic,0,0
,Lujan Grisham (NM),,,,"Maloney, Sean",,,,Walberg,,,,,,,,Lummis,,,,"Maloney, Sean",,,,,,,,,,,,,,,,Pascrell,,,,Newhouse,,,,,,,,,,,,McHenry,,,,McGovern,,,"Representative Lesko, Debbie",Arizona,4,,,House: 2018-Present,8,Republican,,
,"Luján, Ben Ray (NM)",,,,Marchant,,,,Walden,,,,,,,,Lynch,,,,Marino,,,,,,,,,,,,,,,,Paulsen,,,,Noem,,,,,,,,,,,,McKinley,,,,McHenry,,,"Representative Levin, Andy",Michigan,26,-82.97472595,42.53834754,House: 2019-Present,9,Democratic,0,0
,Lummis,,,,Marino,,,,Walker,,,,,,,,Marino,,,,Marshall,,,,,,,,,,,,,,,,Payne,,,,Norman,,,,,,,,,,,,McMorris Rodgers,,,,McKinley,,,"Representative Levin, Mike",California,6,-117.3357397,33.25630566,House: 2019-Present,49,Democratic,0,0
,Lynch,,,,Matsui,,,,Walorski,,,,,,,,Massie,,,,Mast,,,,,,,,,,,,,,,,Pearce,,,,Nunes,,,,,,,,,,,,McNerney,,,,McMorris Rodgers,,,"Representative Lewis, John",Georgia,13,,,House: 1987-Present,5,Democratic,,
,MacArthur,,,,McCarthy,,,,"Walters, Mimi",,,,,,,,Matsui,,,,Matsui,,,,,,,,,,,,,,,,Pelosi,,,,O'Halleran,,,,,,,,,,,,McSally,,,,McNerney,,,"Representative Lieu, Ted",California,6,-118.4408152,33.94482759,House: 2015-Present,33,Democratic,,
,"Maloney, Carolyn",,,,McCaul,,,,Walz,,,,,,,,McCarthy,,,,McCarthy,,,,,,,,,,,,,,,,Perlmutter,,,,Olson,,,,,,,,,,,,Meadows,,,,McSally,,,"Representative Lipinski, Daniel",Illinois,17,,,House: 2005-Present,3,Democratic,,
,Marchant,,,,McClintock,,,,Weber (TX),,,,,,,,McCaul,,,,McCaul,,,,,,,,,,,,,,,,Peters,,,,Palazzo,,,,,,,,,,,,Meeks,,,,Meadows,,,"Representative Loebsack, David",Iowa,19,-92.19918005,41.20439,House: 2007-Present,2,Democratic,,
,Marino,,,,McCollum,,,,Webster (FL),,,,,,,,McClintock,,,,McCollum,,,,,,,,,,,,,,,,Peterson,,,,Pallone,,,,,,,,,,,,Meng,,,,Meeks,,,"Representative Lofgren, Zoe",California,6,,,House: 1995-Present,19,Democratic,,
,Matsui,,,,McDermott,,,,Wenstrup,,,,,,,,McCollum,,,,McEachin,,,,,,,,,,,,,,,,Pingree,,,,Palmer,,,,,,,,,,,,Messer,,,,Meng,,,"Representative Long, Billy",Missouri,29,,,House: 2011-Present,7,Republican,,
,McCarthy,,,,McGovern,,,,Westerman,,,,,,,,McDermott,,,,McGovern,,,,,,,,,,,,,,,,Pocan,,,,Panetta,,,,,,,,,,,,Mitchell,,,,Mitchell,,,"Representative Loudermilk, Barry",Georgia,13,,,House: 2015-Present,11,Republican,,
,McCaul,,,,McHenry,,,,Westmoreland,,,,,,,,McGovern,,,,McHenry,,,,,,,,,,,,,,,,Poliquin,,,,Pascrell,,,,,,,,,,,,Moolenaar,,,,Moolenaar,,,"Representative Lowenthal, Alan S.",California,6,-118.0000969,33.78249007,House: 2013-Present,47,Democratic,,
,McClintock,,,,McKinley,,,,Williams,,,,,,,,McHenry,,,,McKinley,,,,,,,,,,,,,,,,Raskin,,,,Paulsen,,,,,,,,,,,,Mooney (WV),,,,Mooney (WV),,,"Representative Lowey, Nita M.",New York,36,,,House: 1989-Present,17,Democratic,,
,McCollum,,,,McMorris Rodgers,,,,Wilson (SC),,,,,,,,McKinley,,,,McMorris Rodgers,,,,,,,,,,,,,,,,Ratcliffe,,,,Pearce,,,,,,,,,,,,Moore,,,,Moore,,,"Representative Lucas, Frank D.",Oklahoma,40,,,House: 1993-Present,3,Republican,,
,McDermott,,,,McNerney,,,,Womack,,,,,,,,McMorris Rodgers,,,,McNerney,,,,,,,,,,,,,,,,Reed,,,,Pelosi,,,,,,,,,,,,Moulton,,,,Moulton,,,"Representative Luetkemeyer, Blaine",Missouri,29,,,House: 2009-Present,3,Republican,,
,McGovern,,,,McSally,,,,Woodall,,,,,,,,McNerney,,,,McSally,,,,,,,,,,,,,,,,Reichert,,,,Perlmutter,,,,,,,,,,,,Mullin,,,,Mullin,,,"Representative Lujan, Ben Ray",New Mexico,35,,,House: 2009-Present,3,Democratic,,
,McHenry,,,,Meadows,,,,Yoder,,,,,,,,McSally,,,,Meadows,,,,,,,,,,,,,,,,Rice (SC),,,,Perry,,,,,,,,,,,,Nadler,,,,Murphy (FL),,,"Representative Luria, Elaine G.",Virginia,51,,,House: 2019-Present,2,Democratic,0,0
,McKinley,,,,Meehan,,,,Yoho,,,,,,,,Meadows,,,,Meeks,,,,,,,,,,,,,,,,Richmond,,,,Peters,,,,,,,,,,,,Napolitano,,,,Nadler,,,"Representative Lynch, Stephen F.",Massachusetts,25,,,House: 2001-Present,8,Democratic,,
,McMorris Rodgers,,,,Meeks,,,,Young (AK),,,,,,,,Meehan,,,,Messer,,,,,,,,,,,,,,,,Roby,,,,Peterson,,,,,,,,,,,,Neal,,,,Napolitano,,,"Representative Malinowski, Tom",New Jersey,34,,,House: 2019-Present,7,Democratic,0,0
,McNerney,,,,Meng,,,,Young (IA),,,,,,,,Meeks,,,,Mitchell,,,,,,,,,,,,,,,,Roe (TN),,,,Pingree,,,,,,,,,,,,Newhouse,,,,Neal,,,"Representative Maloney, Carolyn B.",New York,36,,,House: 1993-Present,12,Democratic,,
,McSally,,,,Messer,,,,Young (IN),,,,,,,,Messer,,,,Moolenaar,,,,,,,,,,,,,,,,Rogers (AL),,,,Pittenger,,,,,,,,,,,,Noem,,,,Newhouse,,,"Representative Maloney, Sean Patrick",New York,36,,,House: 2013-Present,18,Democratic,,
,Meadows,,,,Mica,,,,Zeldin,,,,,,,,Mica,,,,Mooney (WV),,,,,,,,,,,,,,,,Rogers (KY),,,,Poe (TX),,,,,,,,,,,,Nolan,,,,Noem,,,"Representative Marchant, Kenny",Texas,48,-97.00338255,32.93210605,House: 2005-Present,24,Republican,,
,Meehan,,,,Miller (FL),,,,Zinke,,,,,,,,Miller (FL),,,,Moore,,,,,,,,,,,,,,,,Rohrabacher,,,,Poliquin,,,,,,,,,,,,Norcross,,,,Nolan,,,"Representative Marshall, Roger W.",Kansas,20,,,House: 2017-Present,1,Republican,,
,Meeks,,,,Miller (MI),,,,,,,,,,,,Miller (MI),,,,Moulton,,,,,,,,,,,,,,,,Rokita,,,,Posey,,,,,,,,,,,,Norman,,,,Norcross,,,"Representative Massie, Thomas",Kentucky,21,-84.77123853,38.56826782,House: 2012-Present,4,Republican,,
,Meng,,,,Moolenaar,,,,,,,,,,,,Moolenaar,,,,Mullin,,,,,,,,,,,,,,,,"Rooney, Francis",,,,Price (NC),,,,,,,,,,,,Nunes,,,,Norman,,,"Representative Mast, Brian J.",Florida,12,,,House: 2017-Present,18,Republican,,
,Messer,,,,Moore,,,,,,,,,,,,Mooney (WV),,,,Murphy (FL),,,,,,,,,,,,,,,,"Rooney, Thomas J.",,,,Ratcliffe,,,,,,,,,,,,O'Halleran,,,,Nunes,,,"Representative Matsui, Doris O.",California,6,-121.4865789,38.58649,House: 2005-Present,6,Democratic,,
,Mica,,,,Moulton,,,,,,,,,,,,Moore,,,,Nadler,,,,,,,,,,,,,,,,Ros-Lehtinen,,,,Reed,,,,,,,,,,,,O'Rourke,,,,O'Halleran,,,"Representative McAdams, Ben",Utah,49,,,House: 2019-Present,4,Democratic,0,0
,Miller (FL),,,,Mullin,,,,,,,,,,,,Moulton,,,,Napolitano,,,,,,,,,,,,,,,,Rosen,,,,Reichert,,,,,,,,,,,,Olson,,,,Palazzo,,,"Representative McBath, Lucy",Georgia,13,,,House: 2019-Present,6,Democratic,,
,Miller (MI),,,,Mulvaney,,,,,,,,,,,,Mullin,,,,Neal,,,,,,,,,,,,,,,,Roskam,,,,Renacci,,,,,,,,,,,,Palazzo,,,,Pallone,,,"Representative McCarthy, Kevin",California,6,-118.3595888,35.6879301,House: 2007-Present,23,Republican,,
,Moolenaar,,,,Murphy (FL),,,,,,,,,,,,Mulvaney,,,,Newhouse,,,,,,,,,,,,,,,,Rothfus,,,,Rice (NY),,,,,,,,,,,,Pallone,,,,Palmer,,,"Representative McCaul, Michael T.",Texas,48,-96.49625255,29.87466651,House: 2005-Present,10,Republican,,
,Moore,,,,Murphy (PA),,,,,,,,,,,,Murphy (FL),,,,Nolan,,,,,,,,,,,,,,,,Rouzer,,,,Rice (SC),,,,,,,,,,,,Palmer,,,,Panetta,,,"Representative McClintock, Tom",California,6,-120.0870527,38.02206724,House: 2009-Present,4,Republican,,
,Moulton,,,,Nadler,,,,,,,,,,,,Murphy (PA),,,,Norcross,,,,,,,,,,,,,,,,Roybal-Allard,,,,Roby,,,,,,,,,,,,Panetta,,,,Pascrell,,,"Representative McCollum, Betty",Minnesota,27,,,House: 2001-Present,4,Democratic,,
,Mullin,,,,Napolitano,,,,,,,,,,,,Nadler,,,,Norman,,,,,,,,,,,,,,,,Royce (CA),,,,Roe (TN),,,,,,,,,,,,Pascrell,,,,Paulsen,,,"Representative McEachin, A. Donald",Virginia,51,,,House: 2017-Present,4,Democratic,,
,Mulvaney,,,,Neal,,,,,,,,,,,,Napolitano,,,,Nunes,,,,,,,,,,,,,,,,Ruiz,,,,Rogers (AL),,,,,,,,,,,,Paulsen,,,,Payne,,,"Representative McGovern, James P.",Massachusetts,25,,,House: 1997-Present,2,Democratic,,
,Murphy (FL),,,,Neugebauer,,,,,,,,,,,,Neal,,,,O'Halleran,,,,,,,,,,,,,,,,Ruppersberger,,,,Rogers (KY),,,,,,,,,,,,Payne,,,,Pelosi,,,"Representative McHenry, Patrick T.",North Carolina,37,,,House: 2005-Present,10,Republican,,
,Murphy (PA),,,,Newhouse,,,,,,,,,,,,Neugebauer,,,,Olson,,,,,,,,,,,,,,,,Rush,,,,Rohrabacher,,,,,,,,,,,,Pearce,,,,Perlmutter,,,"Representative McKinley, David B.",West Virginia,54,,,House: 2011-Present,1,Republican,,
,Nadler,,,,Noem,,,,,,,,,,,,Newhouse,,,,Palazzo,,,,,,,,,,,,,,,,Russell,,,,Rokita,,,,,,,,,,,,Pelosi,,,,Perry,,,"Representative McMorris Rodgers, Cathy",Washington,53,,,House: 2005-Present,5,Republican,,
,Napolitano,,,,Nolan,,,,,,,,,,,,Noem,,,,Pallone,,,,,,,,,,,,,,,,Rutherford,,,,"Rooney, Francis",,,,,,,,,,,,Perlmutter,,,,Peters,,,"Representative McNerney, Jerry",California,6,-121.3479684,38.02159645,House: 2007-Present,9,Democratic,,
,Neal,,,,Norcross,,,,,,,,,,,,Nolan,,,,Palmer,,,,,,,,,,,,,,,,Ryan (OH),,,,Ros-Lehtinen,,,,,,,,,,,,Perry,,,,Peterson,,,"Representative Meadows, Mark",North Carolina,37,,,House: 2013-Present,11,Republican,,
,Neugebauer,,,,Nugent,,,,,,,,,,,,Nugent,,,,Panetta,,,,,,,,,,,,,,,,Sánchez,,,,Rosen,,,,,,,,,,,,Peters,,,,Pingree,,,"Representative Meng, Grace",New York,36,,,House: 2013-Present,6,Democratic,,
,Newhouse,,,,Nunes,,,,,,,,,,,,Nunes,,,,Pascrell,,,,,,,,,,,,,,,,Sarbanes,,,,Roskam,,,,,,,,,,,,Peterson,,,,Pittenger,,,"Representative Meuser, Daniel",Pennsylvania,42,,,House: 2019-Present,9,Republican,0,0
,Noem,,,,O'Rourke,,,,,,,,,,,,O'Rourke,,,,Paulsen,,,,,,,,,,,,,,,,Scalise,,,,Ross,,,,,,,,,,,,Pingree,,,,Pocan,,,"Representative Miller, Carol D.",West Virginia,54,,,House: 2019-Present,3,Republican,0,0
